Sample Name,SRR5318447_90000_1.fastq.gz,SRR5318452_90000_1.fastq.gz,SRR5318456_90000_1.fastq.gz,SRR5318460_90000_1.fastq.gz,SRR5318464_90000_1.fastq.gz,SRR5318468_90000_1.fastq.gz,SRR5318472_90000_1.fastq.gz,SRR5318476_90000_1.fastq.gz,SRR5318480_90000_1.fastq.gz,SRR5318484_90000_1.fastq.gz,SRR5318485_90000_1.fastq.gz,SRR5318491_90000_1.fastq.gz,SRR5318496_90000_1.fastq.gz,SRR5318500_90000_1.fastq.gz,SRR5318505_90000_1.fastq.gz,SRR5318506_90000_1.fastq.gz,SRR5318509_90000_1.fastq.gz,SRR5318515_90000_1.fastq.gz,SRR5318521_90000_1.fastq.gz,SRR5318525_90000_1.fastq.gz,SRR5318529_90000_1.fastq.gz,SRR5318534_90000_1.fastq.gz,SRR5318536_90000_1.fastq.gz,SRR5318537_90000_1.fastq.gz,SRR5318539_90000_1.fastq.gz,SRR5318540_90000_1.fastq.gz,SRR5318541_90000_1.fastq.gz,SRR5318542_90000_1.fastq.gz,SRR5318543_90000_1.fastq.gz,SRR5318544_90000_1.fastq.gz,SRR5318545_90000_1.fastq.gz,SRR5318546_90000_1.fastq.gz,SRR5318548_90000_1.fastq.gz,SRR5318549_90000_1.fastq.gz,SRR5318550_90000_1.fastq.gz,SRR5318551_90000_1.fastq.gz,SRR5318552_90000_1.fastq.gz,SRR5318553_90000_1.fastq.gz,SRR5318554_90000_1.fastq.gz,SRR5318555_90000_1.fastq.gz,SRR5318556_90000_1.fastq.gz,SRR5318557_90000_1.fastq.gz,SRR5318558_90000_1.fastq.gz,SRR5318559_90000_1.fastq.gz,SRR5318560_90000_1.fastq.gz,SRR5318561_90000_1.fastq.gz,SRR5318562_90000_1.fastq.gz,SRR5318563_90000_1.fastq.gz,SRR5318564_90000_1.fastq.gz,SRR5318565_90000_1.fastq.gz,SRR5318566_90000_1.fastq.gz,SRR5318567_90000_1.fastq.gz,SRR5318568_90000_1.fastq.gz,SRR5318569_90000_1.fastq.gz,SRR5318570_90000_1.fastq.gz,SRR5318571_90000_1.fastq.gz
Spirochaetes,14,40,10,12,26,90,9,2,13,13,16,11,14,6,12,10,12,175,42,106,120,88,311,364,27,60,49,34,17,19,14,62,56,17,27,23,28,21,37,22,37,24,23,24,32,32,44,190,124,51,66,53,83,436,108,164
Unclassified Bacteria unclassified,101,91,49,32,70,132,77,38,47,22,43,70,61,46,60,63,73,3,26,150,96,1,84,161,77,45,72,18,49,68,71,66,46,22,32,39,18,59,59,54,45,66,42,63,55,57,1,24,8,67,1,2,3,8,24,17
Candidatus Gottesmanbacteria,41,99,146,254,92,22,135,57,174,134,98,41,244,71,77,182,76,4,3,0,4,14,3,2,7,2,8,10,8,7,10,15,13,4,3,11,8,3,17,14,9,6,4,10,11,5,0,0,0,13,0,1,2,0,1,0
Cloacimonetes,26,67,45,40,30,11,22,47,45,70,77,34,13,59,111,39,54,2,6,18,5,9,10,24,14,47,26,23,36,13,4,31,69,14,16,18,35,15,17,15,18,26,16,6,8,9,1,3,15,27,0,0,0,1,3,0
Omnitrophica,34,27,19,15,4,80,24,5,16,14,3,6,27,25,5,15,4,2,0,1,1,2,4,3,39,44,52,25,45,30,22,53,49,37,24,25,29,21,36,24,39,40,21,40,42,31,3,8,0,38,2,3,8,3,0,3
Bacteria candidate phyla unclassified,17,288,25,44,21,11,37,16,24,22,11,13,54,25,9,99,9,12,2,3,2,11,11,2,12,15,12,10,10,14,12,15,10,6,8,11,8,9,16,6,6,6,13,17,19,21,1,9,3,17,3,5,10,10,6,3
Chloroflexi,11,11,13,52,17,26,31,6,29,68,6,11,37,15,38,29,28,22,0,1,1,1,12,46,8,36,17,23,18,17,10,31,22,9,22,14,19,14,18,11,19,24,16,24,28,14,3,22,3,25,6,3,5,2,7,8
Marinimicrobia,11,15,3,8,6,26,7,3,8,7,3,7,51,5,11,2,3,2,2,0,1,2,6,4,34,33,30,35,27,51,42,48,19,29,9,32,26,51,39,38,27,26,25,41,33,26,6,5,1,58,2,0,2,3,5,10
Parcubacteria group unclassified,23,22,23,29,20,23,30,12,21,19,10,2,26,34,22,79,16,1,0,3,0,1,9,3,6,27,7,4,3,8,6,20,12,8,3,8,6,11,9,8,14,16,5,10,8,14,5,0,2,8,3,1,1,4,11,16
Euryarchaeota,1,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,1,15,15,1,19,8,13,18,9,1,0,0,0,0,1,1,0,1,0,57,10,4,1,1,0,75,144,0,0,0,2,7,16,1,15,11,36,0,0,6
Candidatus Saccharibacteria,5,10,3,4,3,2,0,4,4,3,1,3,1,16,7,4,35,0,4,3,1,1,9,29,0,7,3,7,4,3,7,5,3,9,7,2,8,2,2,3,8,4,10,9,12,15,7,0,44,6,4,2,9,82,0,10
Candidatus Peregrinibacteria,18,13,16,35,7,1,19,5,18,17,0,7,34,16,18,23,7,8,18,19,15,3,2,14,4,2,5,3,2,4,3,2,0,1,2,2,6,3,0,3,2,1,3,6,1,3,2,3,0,0,2,0,3,0,1,1
Latescibacteria,2,5,2,5,0,1,3,2,4,5,2,0,5,0,1,0,2,2,0,2,1,3,4,3,2,7,8,3,1,11,2,46,3,2,2,2,2,5,2,1,2,29,76,1,4,2,1,0,0,7,1,2,55,35,17,8
Candidatus Magasanikbacteria,5,6,7,33,15,7,15,4,7,40,4,16,4,40,9,19,6,1,0,1,0,1,1,1,1,3,3,0,3,1,0,2,0,2,2,1,0,3,0,2,2,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0
Candidatus Wolfebacteria,10,6,30,44,0,0,18,0,16,18,0,0,23,2,1,26,2,0,0,0,0,0,0,2,0,0,2,1,3,2,1,3,0,2,0,1,2,0,1,2,2,1,0,2,3,0,1,0,0,1,3,0,1,1,0,3
Tenericutes,1,6,18,1,18,6,0,0,2,1,1,1,0,4,4,0,2,0,7,1,0,0,0,0,9,9,6,3,3,15,3,19,4,2,2,1,1,18,9,1,3,6,4,0,5,8,0,0,18,2,2,0,0,3,3,1
Planctomycetes,3,2,3,2,4,2,2,3,8,1,4,5,4,1,3,1,5,0,3,3,19,0,42,3,2,3,0,0,1,0,3,4,1,1,2,2,0,0,3,1,1,3,3,3,3,2,1,1,0,1,0,1,0,2,35,1
Chlamydiae,6,17,11,6,10,1,8,5,5,6,11,3,2,6,6,7,7,4,14,6,23,7,1,8,1,1,0,1,1,1,1,3,1,3,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2
Cyanobacteria,1,4,2,0,29,6,2,2,1,0,2,0,28,3,1,1,2,0,0,0,0,13,0,0,2,1,0,5,5,5,4,1,0,0,0,1,0,1,1,1,2,3,1,0,6,5,1,0,0,2,0,1,2,0,0,2
Candidatus Aerophobetes,0,3,3,2,2,43,3,0,0,0,4,3,52,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Fibrobacteres,2,1,0,2,1,2,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,78,1,0,1,3,9,0,0
FCB group unclassified,1,5,3,0,5,1,0,0,2,0,0,0,1,1,1,2,4,0,0,0,0,0,0,0,0,4,3,0,1,1,2,9,2,1,0,2,4,4,0,1,1,8,9,0,2,4,0,1,0,3,0,0,1,1,1,1
Candidatus Atribacteria,1,1,0,14,11,12,4,2,9,1,1,1,12,3,0,0,3,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Candidatus Levybacteria,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,8,2,3,4,5,2,2,1,3,4,6,5,4,3,5,4,3,0,0,0,6,0,0,0,0,0,0
Acidobacteria,0,3,0,1,0,0,0,1,7,3,0,3,7,2,4,2,3,0,0,0,0,0,1,27,0,1,0,0,0,0,2,4,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,2,0,0,0,0,0,0
Archaea unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,3,1,0,0,0
Candidate division WWE3,2,1,1,6,0,0,1,1,0,6,0,0,1,4,0,2,0,9,0,0,0,3,0,0,1,1,1,1,1,1,2,1,0,1,0,1,0,2,0,1,1,0,0,3,0,0,1,0,1,1,2,2,0,1,0,0
Candidate division Zixibacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,0,1,1,1,3,0,2,2,1,0,2,3,4,1,1,0,2,1,0,1,0,12,1,1,2,3,0,0,1
Candidatus Parcubacteria,0,3,2,2,2,1,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5,3,1,1,2,0,0,1,1,2,2,0,0,2,2,1,1,3,0,3,1,0,0,1,0,0,0,2,0,0,0
Candidatus Uhrbacteria,1,0,3,0,1,0,0,0,4,0,0,0,0,0,6,0,0,2,0,0,0,0,7,0,1,0,0,0,0,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,3,0,6,2,1
Microgenomates group unclassified,1,4,0,2,7,0,2,0,1,1,1,0,3,0,0,3,3,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Candidatus Falkowbacteria,1,0,0,1,0,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,2,3,0,1,2,0,3,2,1,0,0,0,0,1,3,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Armatimonadetes,1,0,0,1,1,2,5,1,1,0,1,4,3,0,1,7,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospirae,1,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,1,0,1,2,1,0,0,2,1,0,0,0,0,0,0,2,0,2,2,0,0,1,0,1,1,0,0,2
Bacteroidetes/Chlorobi group unclassified,0,0,1,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,2,1,4,0,0,0,2,0,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Candidatus Calescamantes,0,0,4,3,0,0,0,6,4,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aquificae,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1,3,1,0,0,1,2,0,0,0,0,0,1,0,1,1,1,0,0,1,3,1,0,1,1,0,0
Candidatus Woesebacteria,1,3,4,3,1,0,3,0,2,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVC group unclassified,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0
Candidatus Jorgensenbacteria,0,1,0,0,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Candidatus Nanohaloarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Microgenomates,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Deinococcus-Thermus,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,3,0,2
Patescibacteria group unclassified,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1
Candidatus Daviesbacteria,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0
Candidate division CPR3,0,0,2,1,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Candidatus Moranbacteria,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Candidate division CPR1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0
Thermotogae,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crenarchaeota,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Berkelbacteria,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Hydrogenedentes,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Elusimicrobia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Candidatus Poribacteria,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nomurabacteria,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Beckwithbacteria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Dadabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Pacebacteria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Fervidibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Azambacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysiogenetes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanoarchaeota,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermodesulfobacteria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Adlerbacteria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Campbellbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Kuenenbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Roizmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thaumarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cyanobacteria/Melainabacteria group unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opisthokonta unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dikarya unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACK group unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPANN group unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospinae/Tectomicrobia group unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
